frequency = 1498962292.904734 Hz; phi = 0 rad
theta(rad) Re(E_r) Im(E_r) Re(E_theta) Im(E_theta) Re(E_phi) Im(E_phi)
1.229318864448180e+00 -2.231687820057124e-04 2.226435043252781e-04 1.652772894674567e-02 -5.178086718516597e-03 -0.000000000000000e+00 0.000000000000000e+00
1.239825863289617e+00 -2.113146328856518e-04 2.809756816719141e-04 1.483352649041102e-02 -6.606777241788315e-03 -0.000000000000000e+00 0.000000000000000e+00
1.250332862131055e+00 -1.944507563976356e-04 3.322785568201354e-04 1.276570925465474e-02 -7.952631524665920e-03 0.000000000000000e+00 0.000000000000000e+00
1.260839860972492e+00 -1.724980724079270e-04 3.749506900587481e-04 1.037688816579512e-02 -9.181873751899994e-03 0.000000000000000e+00 0.000000000000000e+00
1.271346859813930e+00 -1.455329696474554e-04 4.076267119007701e-04 7.729549787366800e-03 -1.026051894270538e-02 0.000000000000000e+00 0.000000000000000e+00
1.281853858655367e+00 -1.138012590361543e-04 4.292260720215904e-04 4.894322622339717e-03 -1.115546572441940e-02 0.000000000000000e+00 0.000000000000000e+00
1.292360857496805e+00 -7.772602613127086e-05 4.389930863548311e-04 1.947954213897379e-03 -1.183566244680901e-02 0.000000000000000e+00 0.000000000000000e+00
1.302867856338242e+00 -3.790871145048865e-05 4.365267713126802e-04 -1.028938887582396e-03 -1.227330370103492e-02 0.000000000000000e+00 0.000000000000000e+00
1.313374855179679e+00 4.876994563639194e-06 4.217992912219190e-04 -3.954277612470614e-03 -1.244501082050074e-02 0.000000000000000e+00 0.000000000000000e+00
1.323881854021117e+00 4.969857345638281e-05 3.951622272186740e-04 -6.747006352560593e-03 -1.233294823152669e-02 0.000000000000000e+00 0.000000000000000e+00
1.334388852862554e+00 9.548525444269800e-05 3.573402898592640e-04 -9.329577760837713e-03 -1.192582770470140e-02 0.000000000000000e+00 0.000000000000000e+00
1.344895851703992e+00 1.410552847266059e-04 3.094125292107139e-04 -1.163035471374198e-02 -1.121975467509462e-02 0.000000000000000e+00 0.000000000000000e+00
1.355402850545429e+00 1.851491495845323e-04 2.527815300618791e-04 -1.358584958622013e-02 -1.021887481821911e-02 0.000000000000000e+00 0.000000000000000e+00
1.365909849386867e+00 2.264677333447283e-04 1.891315008493716e-04 -1.514272555175683e-02 -8.935784880418657e-03 0.000000000000000e+00 0.000000000000000e+00
1.376416848228304e+00 2.637141809556419e-04 1.203765579640471e-04 -1.625949180394161e-02 -7.391679187383632e-03 0.000000000000000e+00 0.000000000000000e+00
1.386923847069741e+00 2.956380306220813e-04 4.860085824152204e-05 -1.690783417862461e-02 -5.616212046208579e-03 0.000000000000000e+00 0.000000000000000e+00
1.397430845911179e+00 3.210800492332265e-04 -2.400747106205492e-05 -1.707353432557549e-02 -3.647066111477342e-03 0.000000000000000e+00 0.000000000000000e+00
